long_description,severity_code
if you click on show dependency graph for any bug check show the summary of all bugs on the new page and click submit again you get software error select bug status short desc from bugs left join cc selectvisible cc on bugs bug id selectvisible cc bug id and selectvisible cc who where bugs groupset bugs groupset or bugs reporter accessible and bugs reporter or bugs assignee accessible and bugs assigned to or bugs qacontact accessible and bugs qa contact or bugs cclist accessible and selectvisible cc who and not isnull selectvisible cc who and bug id column bug id in where clause is ambiguous at globals pl line ,4
user agent mozilla x u linux i en us rv gecko firefox debian package build identifier mozilla x u linux i en us rv gecko firefox debian package from the holidays calendar instruction we ve got some calendar holiday files available for download to add these to your calendar install the calendar and click on the links below you will be prompted to subscribe to them that way you don t have to continually download them clicking on the links doesn t work nor in calendar firefox neither in calendar mozilla both as debian packages because the link are in the http form not in the webcal form if i manually open the link as webcal link i can subscribe reproducible always steps to reproduce install the calendar extension open http www mozilla org projects calendar caldata englishholidays ics actual results the calendar is open as a plain text page in the browser expected results the calendar extension should ask to subscribe to the calendar i tested only on gnu linux but i m sure that the problem is present in all platforms oses ,1
we don t allow folders to have keywords so the keyword field in the folder view of the info panel should be disabled right now it s not in the tab loop but you can still click there add a keyword and watch it be discarded when you leave the field p we should disable the field entirely and maybe make the label grey until such time as we actually support keywords for folders tab groups if ever i thought there was a bug but i can t find it blocking bug because this is just a nib change ,0
user agent mozilla compatible msie windows nt build identifier bugzilla i have created a schedule task collectstats pl after that old chart was not displaying internal error but as i create a new product and then run this scheduled task after that open the old chart and select old products name in product and click continue it is not displaying any error but if i select new product s name in product option and click continue it is displaying error message the tool which gathers bug counts has not been run yet reproducible always steps to reproduce create new product run the scheduled task collectstats pl open the old chart and select new product name in product and click continue actual results url http bugzilla reports cgi product shinsat datasets new a datasets assigned a datasets reopened a datasets unconfirmed a displaying internal error the tool which gathers bug counts has not been run yet expected results shouldn t displayed any error and should displayed graph with latest data ,1
user agent mozilla macintosh u ppc mac os x mach o en us rv b gecko firefox powerbook build identifier mozilla macintosh u ppc mac os x mach o en us rv b gecko firefox powerbook the last created mac nightly is firefox en us mac dmg from feb since feb there s a big mb but empty file called rw firefox en us mac dmg in the latest trunk folder workaround use nightlies provided by powerbook at http homepage mac com krmathis reproducible always steps to reproduce visit http ftp mozilla org pub mozilla org firefox nightly latest trunk actual results no current firefox en us mac dmg expected results a current firefox en us mac dmg that s not mb,4
there is some funky behavior going on recently with xul error pages try again button loads the previous page you were on and the back button on the navigation bar seems to pick a random spot in the history to load str load http www google com in a new tab go to http www iuybh g com hit the try again button google loads repeat steps hit the back button on the navigation bar and some random page from the history loads and not google regressed between and pushlog for that range http hg mozilla org mozilla central pushloghtml fromchange f ef cc tochange eb cc d ,2
consider the following code for js shell var x x foo x var y y f function y f bar y f print uneval x print uneval y currently it prints f function where is a leftover from the fact that tosource for object and array consider that all enumeratable properties from the object graph would be serialized see marksharpobjects from jsobj c but this is not the case when tosource does not include all the properties as above example demonstrates it would be nice if unnecessary sharp variables would be avoided ,1
tables has set border style none padding margin width div has set nothing that should affect this sometimes the table and div line up ie have the save width sometimes they don t if i up ed my resolution they lined up fine i m guessing there s a floating point involved here someplace that is behaving differently between the two this is the only thing i can think of besides my code being invalid but i m pretty sure my code is right ,1
user agent mozilla os u warp en us rv gecko firefox build identifier e usr src hg mozilla central modules plugin base src nspluginnativewindowos cpp in function void pluginwndproc hwnd ulong void void e usr src hg mozilla central modules plugin base src nspluginnativewindowos cpp error no matching function for call to nsiplugininstance getmimetype char dist include nsiplugininstance h note candidates are virtual nsresult nsiplugininstance getmimetype const char e usr src hg mozilla central modules plugin base src nspluginnativewindowos cpp in member function nsresult nspluginnativewindowos subclassandassociatewindow e usr src hg mozilla central modules plugin base src nspluginnativewindowos cpp warning iso c forbids casting between pointer to function and pointer to object e usr src hg mozilla central modules plugin base src nspluginnativewindowos cpp warning unused variable win e usr src hg mozilla central modules plugin base src nspluginnativewindowos cpp in member function nsresult nspluginnativewindowos undosubclassandassociatewindow e usr src hg mozilla central modules plugin base src nspluginnativewindowos cpp warning iso c forbids casting between pointer to function and pointer to object make exe nspluginnativewindowos o error after checkin for bug reproducible always,2
user agent mozilla windows u windows nt de rv gecko firefox build identifier thunderbird version when deleting or separating an attachment from an incoming mail the junk status of this mail always changes from no junk or junk to unknown it shows the red question mark reproducible always steps to reproduce you get mail which is automatically or manually marked as junk j or no junk shift j now delete or separate an attachment from this mail actual results you ll see the junk status will change to unknown expected results thunderbird shouldn t forget the junk status of a mail this is thunderbird version with the mnenhy extension installed but i don t think that mnenhy is responsable for this behaviour ,3
please put this video file http labs silverorange com files mozilla videos en mp in this dir http videos mozilla org firefox screencast ,2
the javascript console uses a variable with font this means that features like the green arrow which underlines the point in a line with the js fails is hard to match up switching to a fixed with font would make the green arrow appear under the point in the line with the js fails just making the feature useful ,0
for my suse linux i had to install perl mcpan e install file temp before i could do perl mcpan e install template the dependency wasn t picked up automatically so you might want to add file temp to the list of modules on that page cheers andy,1
cpan bugzilla will need to be updated with the new modules and new versions of modules listed in checksetup pl before or coinciding with the bugzilla v release ,4
user agent mozilla macintosh u intel mac os x en applewebkit khtml like gecko safari build identifier trunk on build f of mac os x on intel an unoptimized debug build of firefox crashes on launch in xptc invokebyindex with a misaligned stack the misalignment happens within xptc invokebyindex itself which doesn t appear to be properly aligning the first call in the inline asm program received signal exc bad instruction illegal instruction operand x fe ee in dyld stub binding helper interface x esp xbfffd b x i pc x fe ee movdqa xmm esp gdb bt x fe ee in dyld stub binding helper interface x in x e d in xptc invokebyindex that x c b methodindex paramcount params xbfffdb c at xptcinvoke unixish x cpp x b bf f in xpcwrappednative callmethod ccx xbfffdd mode call getter at xpcwrappednative cpp x b e in xpcwrappednative getattribute ccx xbfffdd at xpcwrappednativejsops cpp x b c in xpc wn gettersetter cx x c obj x b argc argv x c c vp xbfffdec at xpcwrappednativejsops cpp x da in js invoke cx x c argc flags at jsinterp c x de in js internalinvoke cx x c obj x b fval flags argc argv x rval xbfffe bc at jsinterp c x e in js internalgetorset cx x c obj x b id fval mode jsacc read argc argv x rval xbfffe bc at jsinterp c x a e in js getproperty cx x c obj x b id vp xbfffe bc at jsobj c x e a in js interpret cx x c pc x c ad result xbfffed at jsinterp c x e in js execute cx x c chain x af script x c down x flags result xbfffef at jsinterp c x e in js executescript cx x c obj x af script x c rval xbfffef at jsapi c x b d a in mozjscomponentloader globalforlocation this x c d alocation x c f rel jsconsole clhandler js acomponent x c aglobal xbffff at mozjscomponentloader cpp x b d in mozjscomponentloader moduleforlocation this x c d registrylocation x c f rel jsconsole clhandler js component x c status incomplete type at mozjscomponentloader cpp x b d be in mozjscomponentloader attemptregistration this x c d component x c deferred at mozjscomponentloader cpp x b d b in mozjscomponentloader autoregistercomponent this x c d when component x c registered xbffff at mozjscomponentloader cpp x b d f in mozjscomponentloader registercomponentsindir this x c d when dir x c e at mozjscomponentloader cpp x b d b in mozjscomponentloader autoregistercomponents this x c d when adirectory x c e at mozjscomponentloader cpp x in nscomponentmanagerimpl autoregisternonnativecomponents this x c c spec x c e at nscomponentmanager cpp x cf in nscomponentmanagerimpl autoregisterimpl this x c c when indirspec x fileiscompdir at nscomponentmanager cpp x in nscomponentmanagerimpl autoregister this x c c aspec x at nscomponentmanager cpp x d c in ns initxpcom p result xbffff bindirectory x c c a appfilelocationprovider xbffff staticcomponents x ab componentcount at nsxpcominit cpp x in scopedxpcomstartup initialize this xbffff at nsapprunner cpp x in xre main argc argv xbffff d aappdata x e at nsapprunner cpp x aa in main argc argv xbffff d at nsbrowserapp cpp gdb reproducible always steps to reproduce build firefox with disable optimize enable debug and disable tests run actual results firefox crashes expected results not crashing is often considered to be proper behavior ,3
items in our central config found at tools release bootstrap cfg should be automatically propagated to dependent tool configs as a part of the process care should be taken to check these new configs into some sort of source control to allow us to manage them systematically and see changesets tools that would need to be configured as a part of release automation based on boostrap cfg are patcher tinderbox bouncer addons mozilla org patcher others ,3
from bugzilla helper user agent mozilla x u linux i en us rv b gecko buildid on the test page the border on the top and left sides of the table disappears it actually appears as if the border disappears halfway in under the content background och the cells if the border is px wide pixels will be visible at all sides of the table if the border is px wide pixel will be visible at all sides etc pixel obviously becomes either or pixels without border collapse collapse everything works as expected reproducible always steps to reproduce load the test page look at the borders around the table actual results the border is invisible or width px on the top and left sides expected results there should be px borders on all sides ,1
created attachment testcase i guess this might be related to bug no idea but since this has a different regression range i m filing this as a new bug see testcase which crashes current trunk build after hanging for a short while this seems to have regressed between and http hg mozilla org mozilla central pushloghtml startdate a a enddate a a http crash stats mozilla com report index fdc c f bc ed a f a c p xul dll nssprocketlayout populateboxsizes layout xul base src nssprocketlayout cpp xul dll nssprocketlayout layout layout xul base src nssprocketlayout cpp xul dll nsboxframe dolayout layout xul base src nsboxframe cpp xul dll nsiframe layout layout xul base src nsbox cpp xul dll nssprocketlayout layout layout xul base src nssprocketlayout cpp xul dll nsboxframe dolayout layout xul base src nsboxframe cpp xul dll nsboxframe layoutchildat layout xul base src nsboxframe cpp xul dll layoutandinvalidate layout generic nsgfxscrollframe cpp xul dll nsgfxscrollframeinner layoutscrollbars layout generic nsgfxscrollframe cpp xul dll nshtmlscrollframe reflow layout generic nsgfxscrollframe cpp xul dll xul dll x bb fe,3
user agent mozilla windows u windows nt en gb rv gecko firefox build identifier mozilla windows u windows nt en gb rv gecko firefox the http accept header is not preserved when after a get redirect that leads that the second get is not using the original http accept header but is reset to the standard this is a really important feature for the proper implementation of restful architectures i m currently developing some restful prototypes and this feature is a must when dealing with aliasing of resources for instance in order to access resources by their id or any other resource key field as its unique name the problem is that the http accept header in particular is very important to determine the proper format to de reference to the resource to as when using ruby on rails respond to in order to determine the content type to respond with reproducible always steps to reproduce http localhost elements applicantdetails get elements applicantdetails http host localhost user agent mozilla windows u windows nt en gb rv gecko firefox accept application json accept language en gbes esq enq accept encoding gzipdeflate accept charset iso utf q q keep alive connection keep alive x requested with xmlhttprequest x prototype version referer http localhost elements cookie xmldictionaryrest session id bah cdoocmv dxjux rvig vzwxlbwvudhmvogtsb nhbguicmvulwdiigpm abgfzaeldoidby rpb db cm sbgvyojpgbgfzado rmxhc hiyxnoewag aogpadxnlzhsa c ea c fd aca dedd e f http x moved temporarily content length connection close date mon oct gmt status found location http localhost elements x runtime cache control no cache server mongrel content type text html charset utf http localhost elements get elements http host localhost user agent mozilla windows u windows nt en gb rv gecko firefox accept text xmlapplication xmlapplication xhtml xmltext htmlq text plainq image png q accept language en gbes esq enq accept encoding gzipdeflate accept charset iso utf q q keep alive connection keep alive referer http localhost elements cookie xmldictionaryrest session id bah cdoocmv dxjux rvig vzwxlbwvudhmvogtsb nhbguicmvulwdiigpm abgfzaeldoidby rpb db cm sbgvyojpgbgfzado rmxhc hiyxnoewag aogpadxnlzhsa c ea c fd aca dedd e f ,2
in fx you can ctrl click on an about config entry and get a contextual menu which allows you to create a new pref for instance to add permissions default script which does not exist by default to lock a given setting to reset a setting to modify a setting to toggle a setting copy name or copy value the latter four seem somewhat superfluous esp as double click already toggles or modifies depending on the pref type camino shows the page contextual menu instead these are useful esp for qa and allow modifications and additions without the quit edit restart merry go round we currently have in camino for some prefs ,1
caused by the checkin for bug thunderbird is currently doa until we can get this fixed,4
this is a little late spin off from bug that bug implemented better looking error pages especially see comments there when some prefs starting with capability principal codebase are set the error pages only consist of the try again link which doesn t even work steps to reproduce enable error pages user pref browser xul error pages enabled true add the following lines to your preferences user pref capability principal codebase p granted universalxpconnect user pref capability principal codebase p id http bugzilla mozilla org start mozilla navigator type some random string in the url bar and press return to display the error page for dns errors or do something else to provoke an error page see the page with only the try again link in it when you try the same without the both capability principal codebase lines in your preferences you see the normal error pages i don t know what for those two lines are so i don t really understand what s going on here probably this bug is just a symptom of a more general issue ,1
would it be possible to get munin cacti monitoring on production master i m interested in tracking cpu usage system load memory swap usage over time ,3
 ,3
